# Water stress categories from Aqueduct 4.0 (baseline water stress, total weight)
# 0=Low, 1=Low-Medium, 2=Medium-High, 3=High, 4=Extremely High
# zone_id,water_stress_category
AE,4
AF,3
AG,
AL,3
AM,2
AO,1
AR,1
AT,0
AU,2
AU-NSW,3
AU-NT,1
AU-QLD,1
AU-SA,2
AU-TAS,0
AU-TAS-FI,0
AU-TAS-KI,0
AU-VIC,3
AU-WA,2
AU-WA-RI,2
AW,
AX,0
AZ,2
BA,0
BB,
BD,2
BE,4
BF,1
BG,1
BH,4
BI,0
BJ,0
BN,0
BO,0
BR,1
BR-CS,1
BR-N,0
BR-NE,0
BR-S,0
BS,
BT,0
BW,4
BY,1
BZ,0
CA,1
CA-AB,2
CA-BC,0
CA-MB,0
CA-NB,0
CA-NL,0
CA-NS,0
CA-NT,0
CA-NU,0
CA-ON,1
CA-PE,0
CA-QC,0
CA-SK,2
CA-YT,0
CD,0
CF,0
CG,0
CH,0
CI,0
CL-SEN,4
CM,0
CN,2
CO,0
CR,0
CU,1
CV,
CW,
CY,4
CZ,1
DE,2
DJ,3
DK,0
DK-BHM,1
DK-DK1,0
DK-DK2,1
DM,
DO,1
DZ,3
EC,0
EE,1
EG,4
ER,3
ES,3
ES-CE,3
ES-CN-FV,3
ES-CN-GC,3
ES-CN-HI,3
ES-CN-IG,3
ES-CN-LP,3
ES-CN-LZ,3
ES-CN-TE,3
ES-IB-FO,3
ES-IB-IZ,3
ES-IB-MA,3
ES-IB-ME,3
ES-ML,3
ET,0
FI,0
FJ,
FK,
FM,
FO,
FO-MI,
FO-SI,
FR,1
FR-COR,1
GA,0
GB,1
GB-NIR,1
GB-ORK,1
GE,0
GF,
GH,0
GI,
GL,
GM,0
GN,0
GP,
GQ,0
GR,4
GS,
GT,1
GU,
GW,0
GY,2
HK,2
HN,0
HR,0
HT,1
HU,0
ID,2
IE,0
IL,4
IN,4
IN-EA,2
IN-NE,0
IN-NO,4
IN-SO,4
IN-WE,4
IQ,4
IR,4
IS,0
IT,3
IT-CNO,4
IT-CSO,4
IT-NO,1
IT-SAR,4
IT-SIC,4
IT-SO,4
JM,0
JO,4
JP,1
JP-CB,2
JP-CG,1
JP-HKD,0
JP-HR,1
JP-KN,1
JP-KY,1
JP-ON,0
JP-SK,1
JP-TH,1
JP-TK,2
KE,0
KG,3
KH,1
KM,
KP,2
KR,2
KW,4
KY,
KZ,2
LA,0
LB,4
LC,
LK,2
LR,0
LS,2
LT,2
LU,2
LV,0
LY,4
MA,3
MD,1
ME,0
MG,0
MK,3
ML,0
MM,2
MN,3
MO,2
MQ,
MR,2
MT,
MU,
MV,
MW,0
MX,3
MY,1
MY-EM,0
MY-WM,0
MZ,0
NA,4
NC,
NE,3
NG,0
NI,0
NL,1
NO,0
NO-NO1,0
NO-NO2,0
NO-NO3,0
NO-NO4,0
NO-NO5,0
NP,3
NZ,0
OM,4
PA,0
PE,3
PF,
PG,0
PH,2
PH-LU,2
PH-MI,0
PH-VI,2
PK,3
PL,1
PM,
PR,
PS,
PT,3
PT-MA,3
PW,
PY,0
QA,4
RE,
RO,1
RS,1
RU-1,3
RU-2,0
RU-AS,0
RW,0
SA,4
SB,
SC,
SD,1
SE,0
SE-SE1,0
SE-SE2,0
SE-SE3,2
SE-SE4,0
SG,
SI,0
SK,1
SL,0
SN,2
SO,1
SR,1
SS,1
ST,
SV,1
SY,4
SZ,0
TD,0
TG,0
TH,3
TJ,2
TL,1
TM,3
TN,4
TO,
TR,3
TT,
TW,
TZ,1
UG,0
US,2
US-AK,1
US-AK-SEAPA,1
US-CAL-BANC,4
US-CAL-CISO,4
US-CAL-IID,4
US-CAL-LDWP,4
US-CAL-TIDC,4
US-CAR-CPLE,3
US-CAR-CPLW,3
US-CAR-DUK,3
US-CAR-SC,2
US-CAR-SCEG,2
US-CAR-YAD,3
US-CENT-SPA,1
US-CENT-SWPP,3
US-FLA-FMPP,3
US-FLA-FPC,3
US-FLA-FPL,3
US-FLA-GVL,3
US-FLA-HST,3
US-FLA-JEA,3
US-FLA-SEC,3
US-FLA-TAL,3
US-FLA-TEC,3
US-HI,
US-MIDA-PJM,2
US-MIDW-AECI,1
US-MIDW-LGEE,1
US-MIDW-MISO,2
US-NE-ISNE,1
US-NW-AVA,1
US-NW-BPAT,1
US-NW-CHPD,1
US-NW-DOPD,1
US-NW-GCPD,1
US-NW-GRID,1
US-NW-IPCO,4
US-NW-NEVP,3
US-NW-NWMT,2
US-NW-PACE,3
US-NW-PACW,1
US-NW-PGE,1
US-NW-PSCO,4
US-NW-PSEI,1
US-NW-SCL,1
US-NW-TPWR,1
US-NW-WACM,4
US-NW-WAUW,3
US-NY-NYIS,1
US-SE-SEPA,2
US-SE-SOCO,2
US-SW-AZPS,4
US-SW-EPE,3
US-SW-PNM,4
US-SW-SRP,4
US-SW-TEPC,4
US-SW-WALC,4
US-TEN-TVA,1
US-TEX-ERCO,3
UY,1
UZ,3
VC,
VE,1
VI,
VN,2
VU,
WS,
XK,
YE,4
YT,
ZA,4
ZM,0
ZW,2
